title:exampleEmotiv, start timestamp:1683180947.898011, stop timestamp:1683180957.960511, headset type:INSIGHT, headset serial:79B30521, headset firmware:931, channels:68, sampling rate:mot_64;pm_0.1;pow_8, samples:645       , version:2.2, 
Timestamp,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1683180948.179261,22.000000,0.000000,0.948632,0.171875,0.125000,-0.234375,0.968765,0.218753,-0.218753,-76.563667,-20.826149,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.194886,23.000000,0.000000,0.887054,0.265625,0.156250,-0.343750,0.968765,0.218753,-0.218753,-76.563667,-18.743534,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.210511,24.000000,0.000000,0.807376,0.234375,0.390625,-0.375000,0.968765,0.218753,-0.218753,-76.563667,-16.869181,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.226136,25.000000,0.000000,0.788714,0.031250,0.593750,-0.156250,0.968765,0.187503,-0.250004,-76.563667,-19.010447,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.241761,26.000000,0.000000,0.941657,0.187500,0.125000,-0.250000,0.968765,0.187503,-0.250004,-76.563667,-20.937584,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.257386,27.000000,0.000000,0.874721,0.265625,0.187500,-0.359375,0.968765,0.218753,-0.250004,-76.563667,-18.843826,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.273011,28.000000,0.000000,0.788714,0.031250,0.593750,-0.156250,0.968765,0.187503,-0.250004,-76.563667,-20.787626,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.288636,29.000000,0.000000,0.797028,0.203125,0.453125,-0.343750,0.968765,0.218753,-0.250004,-76.563667,-18.708864,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.304261,30.000000,0.000000,0.761308,0.125000,0.578125,-0.265625,0.968765,0.187503,-0.250004,-76.563667,-20.666161,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.319886,31.000000,0.000000,0.515151,0.437500,0.390625,-0.625000,0.968765,0.187503,-0.250004,-76.563667,-18.599545,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
